Rank,Name,Market Cap,MC_USD_Billion,MC_GBP_Billion,MC_EUR_Billion,MC_INR_Billion
1,JPMorgan Chase,432.92,4.3292000000000004e-07,0.0,0.0,0.0
2,Bank of America,231.52,2.3152e-07,0.0,0.0,0.0
3,Industrial and Commercial Bank of China,194.56,1.9456e-07,0.0,0.0,0.0
4,Agricultural Bank of China,160.68,1.6068e-07,0.0,0.0,0.0
5,HDFC Bank,157.91,1.5791e-07,0.0,0.0,0.0
6,Wells Fargo,155.87,1.5587e-07,0.0,0.0,0.0
7,HSBC Holdings PLC,148.9,1.4890000000000002e-07,0.0,0.0,0.0
8,Morgan Stanley,140.83,1.4083000000000002e-07,0.0,0.0,0.0
9,China Construction Bank,139.82,1.3982e-07,0.0,0.0,0.0
10,Bank of China,136.81,1.3681e-07,0.0,0.0,0.0
